fir_number,date_reported,crime_time,description,status,station_name
FIR-001-0019,2025-09-20,03:09,"Ransomware attack on systems at Market Square, demand of Rs.1,00,000 in Bitcoin",Under Investigation,Central Police Station
FIR-001-0020,2026-01-16,21:59,"Drug peddling near school zone at Shopping Mall, 6 juveniles involved",Closed,Central Police Station
FIR-001-0021,2025-10-17,02:03,"Street fight escalated into grievous hurt at Railway Station, 4 persons arrested",Open,Central Police Station
FIR-001-0022,2025-07-12,20:08,"Trespassing complaint filed at Bus Terminal, suspect identified",Under Investigation,Central Police Station
FIR-001-0023,2025-07-23,04:38,Domestic violence complaint registered by victim at School Zone,Closed,Central Police Station
FIR-001-0024,2026-05-12,21:29,"Identity theft reported from Hospital Road, social media accounts hacked",Closed,Central Police Station
FIR-001-0025,2026-01-05,20:13,"Office break-in at Residential Colony, electronics worth Rs.10,00,000 stolen",Closed,Central Police Station
FIR-001-0026,2026-05-28,03:23,Unauthorized network intrusion detected at Temple Street,Under Investigation,Central Police Station
FIR-001-0027,2025-10-07,09:35,"Bank fraud of Rs.50,000 detected at Residential Colony, account compromised",Under Investigation,Central Police Station
FIR-001-0028,2025-07-10,19:36,"Attempted murder case filed, victim attacked with a sharp weapon at Residential Colony",Under Investigation,Central Police Station
FIR-001-0029,2026-03-12,17:42,"Attempted murder case filed, victim attacked with a sharp weapon at Industrial Area",Under Investigation,Central Police Station
FIR-001-0030,2026-04-27,12:18,"Cocaine trafficking via courier, package intercepted at Shopping Mall",Pending Review,Central Police Station
FIR-001-0031,2026-02-09,01:12,"Construction material theft from site at Market Square, loss of Rs.75,000",Closed,Central Police Station
FIR-001-0032,2025-10-10,12:22,"Cheque bouncing case filed for amount Rs.75,000 at Temple Street",Pending Review,Central Police Station
FIR-001-0033,2025-07-04,04:11,"Forgery of financial documents at Industrial Area, fake signatures detected",Closed,Central Police Station
FIR-001-0034,2025-11-07,10:13,"Extortion threat received by shopkeeper at Hospital Road, demanded Rs.5,00,000",Closed,Central Police Station
FIR-001-0035,2026-03-24,03:36,"Possession of narcotics found on suspect at School Zone, Rs.2,00,000 worth",Open,Central Police Station
FIR-001-0036,2025-12-10,11:59,"Armed robbery at Bus Terminal involving a firearm, loot worth Rs.75,000",Under Investigation,Central Police Station
FIR-001-0037,2026-05-20,01:57,"Street fight escalated into grievous hurt at Bus Terminal, 3 persons arrested",Pending Review,Central Police Station
FIR-001-0038,2025-11-04,07:45,"Forgery of financial documents at Market Square, fake signatures detected",Under Investigation,Central Police Station
FIR-001-0039,2025-11-21,18:38,Unauthorized network intrusion detected at Railway Station,Open,Central Police Station
FIR-001-0040,2026-05-21,14:38,"Phishing attack targeted employees at Railway Station, credentials stolen",Open,Central Police Station
FIR-001-0041,2026-04-28,22:23,"Trespassing complaint filed at Bus Terminal, suspect identified",Closed,Central Police Station
FIR-001-0042,2025-11-24,23:59,"Ransomware attack on systems at Temple Street, demand of Rs.1,00,000 in Bitcoin",Under Investigation,Central Police Station
FIR-001-0043,2026-01-10,12:09,"Forgery of financial documents at Railway Station, fake signatures detected",Under Investigation,Central Police Station
FIR-001-0044,2025-08-28,23:33,"Burglary at School Zone, valuables worth Rs.25,000 stolen",Pending Review,Central Police Station
FIR-001-0045,2026-01-22,11:34,"Chain snatching incident at School Zone, accused fled on motorcycle",Open,Central Police Station
FIR-001-0046,2025-12-23,17:07,"Cheque bouncing case filed for amount Rs.5,00,000 at Temple Street",Open,Central Police Station
FIR-001-0047,2026-03-31,16:15,"Possession of narcotics found on suspect at Bus Terminal, Rs.50,000 worth",Closed,Central Police Station
FIR-001-0048,2025-10-30,03:31,Ganja cultivation discovered in farmland near Shopping Mall,Pending Review,Central Police Station
FIR-001-0049,2026-01-05,09:14,"Trespassing complaint filed at Residential Colony, suspect identified",Pending Review,Central Police Station
FIR-001-0050,2026-05-07,00:35,Illegal drug manufacturing lab discovered at Market Square,Closed,Central Police Station
FIR-001-0051,2025-07-28,07:52,"Armed robbery at Temple Street involving a firearm, loot worth Rs.5,00,000",Open,Central Police Station
FIR-001-0052,2026-05-13,05:20,"Phishing attack targeted employees at Residential Colony, credentials stolen",Under Investigation,Central Police Station
FIR-001-0053,2026-04-17,20:37,Illegal drug manufacturing lab discovered at Railway Station,Pending Review,Central Police Station
FIR-001-0054,2026-03-06,06:45,"Vehicle theft reported from Shopping Mall, car valued at Rs.10,00,000",Closed,Central Police Station
FIR-001-0055,2026-03-16,16:48,Illegal drug manufacturing lab discovered at Hospital Road,Closed,Central Police Station
FIR-001-0056,2025-12-09,13:03,"Possession of narcotics found on suspect at Hospital Road, Rs.1,00,000 worth",Pending Review,Central Police Station
FIR-001-0057,2026-05-17,00:53,"Drug trafficking ring busted at Market Square, 5 kg of contraband seized",Pending Review,Central Police Station
FIR-001-0058,2025-08-14,20:19,"Money laundering operation busted at Temple Street, Rs.10,00,000 seized",Open,Central Police Station
FIR-001-0059,2025-11-16,18:25,"Ransomware attack on systems at Bus Terminal, demand of Rs.10,00,000 in Bitcoin",Pending Review,Central Police Station
FIR-001-0060,2026-01-04,07:38,"Drug peddling near school zone at Residential Colony, 2 juveniles involved",Closed,Central Police Station
FIR-001-0061,2025-11-08,04:55,"Housebreaking at Shopping Mall, 2 suspects entered during daytime",Closed,Central Police Station
FIR-001-0062,2026-03-05,11:30,"Construction material theft from site at Bus Terminal, loss of Rs.1,00,000",Under Investigation,Central Police Station
FIR-001-0063,2025-12-14,11:43,"Construction material theft from site at School Zone, loss of Rs.1,00,000",Pending Review,Central Police Station
FIR-001-0064,2025-08-20,13:01,Smuggling of controlled substances across border near Residential Colony,Under Investigation,Central Police Station
FIR-001-0065,2025-08-03,01:39,"Housebreaking at Industrial Area, 3 suspects entered during daytime",Pending Review,Central Police Station
FIR-001-0066,2025-11-17,12:41,"Online banking fraud of Rs.25,000 via phishing link sent to Hospital Road",Open,Central Police Station
FIR-001-0067,2025-08-13,14:10,"Housebreaking at Temple Street, 2 suspects entered during daytime",Closed,Central Police Station
FIR-001-0068,2026-06-29,13:33,"Embezzlement of company funds amounting to Rs.5,00,000 at Temple Street",Open,Central Police Station
FIR-001-0069,2025-10-26,11:26,"Jewelry theft from residence at Market Square, valuables worth Rs.2,00,000",Under Investigation,Central Police Station
FIR-001-0070,2026-03-29,17:16,"Attempted murder case filed, victim attacked with a sharp weapon at Shopping Mall",Open,Central Police Station
FIR-001-0071,2026-01-05,12:49,"Credit card fraud of Rs.1,00,000 reported from Market Square",Under Investigation,Central Police Station
FIR-001-0072,2026-06-21,11:44,"Extortion threat received by shopkeeper at Market Square, demanded Rs.25,000",Under Investigation,Central Police Station
FIR-001-0073,2025-08-11,20:48,Cyber stalking case filed by victim residing at Industrial Area,Open,Central Police Station
FIR-001-0074,2025-11-21,19:21,"Physical assault reported near Railway Station, victim sustained injuries",Closed,Central Police Station
FIR-001-0075,2025-11-13,06:15,Cyber stalking case filed by victim residing at Main Road,Closed,Central Police Station
FIR-001-0076,2026-04-20,20:23,"Vandalism of public property at Temple Street, estimated damage Rs.10,00,000",Closed,Central Police Station
FIR-001-0077,2025-09-02,15:32,"Online banking fraud of Rs.75,000 via phishing link sent to Temple Street",Open,Central Police Station
FIR-001-0078,2026-04-01,11:37,"Construction material theft from site at Main Road, loss of Rs.25,000",Open,Central Police Station
FIR-001-0079,2026-05-17,21:47,Ganja cultivation discovered in farmland near School Zone,Open,Central Police Station
FIR-001-0080,2025-09-23,04:21,"Ransomware attack on systems at Residential Colony, demand of Rs.1,00,000 in Bitcoin",Open,Central Police Station
FIR-001-0081,2025-08-21,06:46,"Attempted murder case filed, victim attacked with a sharp weapon at Temple Street",Closed,Central Police Station
FIR-001-0082,2025-07-31,09:00,"Social engineering scam at School Zone, Rs.25,000 transferred fraudulently",Closed,Central Police Station
FIR-001-0083,2026-02-13,23:40,"Insurance fraud investigation launched at Main Road, false claim of Rs.50,000",Closed,Central Police Station
FIR-001-0084,2026-04-15,16:19,"Kidnapping of a 35-year-old near Main Road, ransom demand received",Pending Review,Central Police Station
FIR-001-0085,2025-10-04,09:08,"Armed robbery at Railway Station involving a firearm, loot worth Rs.75,000",Under Investigation,Central Police Station
FIR-001-0086,2026-03-08,02:27,"Extortion threat received by shopkeeper at Shopping Mall, demanded Rs.5,00,000",Open,Central Police Station
FIR-001-0087,2025-09-08,20:04,Smuggling of controlled substances across border near Railway Station,Under Investigation,Central Police Station
FIR-001-0088,2025-08-15,12:45,"Kidnapping of a 45-year-old near Market Square, ransom demand received",Open,Central Police Station
FIR-001-0089,2025-11-24,22:00,"Homicide investigation at Hospital Road, body discovered in the morning",Closed,Central Police Station
FIR-001-0090,2026-01-04,22:45,"Data breach at Main Road, 6 customer records compromised",Closed,Central Police Station
FIR-001-0091,2025-08-10,13:24,"Pharmaceutical drug abuse case at Bus Terminal, 6 injections seized",Pending Review,Central Police Station
FIR-001-0092,2026-03-28,02:36,"Cryptocurrency scam worth Rs.5,00,000 at Hospital Road, 4 victims identified",Under Investigation,Central Police Station
FIR-001-0093,2026-02-13,18:09,Smuggling of controlled substances across border near Temple Street,Open,Central Police Station
FIR-001-0094,2025-11-29,10:51,"Drug trafficking ring busted at Main Road, 5 kg of contraband seized",Closed,Central Police Station
FIR-001-0095,2025-07-22,14:43,"Money laundering operation busted at Market Square, Rs.75,000 seized",Open,Central Police Station
FIR-001-0096,2026-03-15,17:36,"Drug trafficking ring busted at Bus Terminal, 2 kg of contraband seized",Closed,Central Police Station
FIR-001-0097,2025-07-25,08:01,"Pharmaceutical drug abuse case at Hospital Road, 3 injections seized",Open,Central Police Station
FIR-001-0098,2025-12-25,22:34,Domestic violence complaint registered by victim at Market Square,Open,Central Police Station
FIR-001-0099,2026-01-08,21:30,Unauthorized network intrusion detected at Bus Terminal,Open,Central Police Station
FIR-001-0100,2026-04-08,22:25,"Dacoity at Market Square, group of 3 individuals looted the premises",Pending Review,Central Police Station
